Movie Title,Year of Realease,Genre,Movie Rating,Duration,Gross,Worldwide LT Gross,Metascore,Votes,Logline
Avatar,2009,"Action,Adventure,Fantasy",7.8,162,$760.51M,"$2,847,397,339",83,"1,236,962",A paraplegic Marine dispatched to the moon Pandora on a unique mission becomes torn between following his orders and protecting the world he feels is his home.
Avengers: Endgame,2019,"Action,Adventure,Drama",8.4,181,$858.37M,"$2,797,501,328",78,"1,108,641","After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe."
Titanic,1997,"Drama,Romance",7.9,194,$659.33M,"$2,201,647,264",75,"1,162,142","A seventeen-year-old aristocrat falls in love with a kind but poor artist aboard the luxurious, ill-fated R.M.S. Titanic."
Star Wars: Episode VII - The Force Awakens,2015,"Action,Adventure,Sci-Fi",7.8,138,$936.66M,"$2,069,521,700",80,"925,551","As a new threat to the galaxy rises, Rey, a desert scavenger, and Finn, an ex-stormtrooper, must join Han Solo and Chewbacca to search for the one hope of restoring peace."
Avengers: Infinity War,2018,"Action,Adventure,Sci-Fi",8.4,149,$678.82M,"$2,048,359,754",68,"1,062,517",The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.
Spider-Man: No Way Home,2021,"Action,Adventure,Fantasy",8.3,148,$804.75M,"$1,911,432,550",71,"735,006","With Spider-Man's identity now revealed, Peter asks Doctor Strange for help. When a spell goes wrong, dangerous foes from other worlds start to appear, forcing Peter to discover what it truly means to be Spider-Man."
Jurassic World,2015,"Action,Adventure,Sci-Fi",6.9,124,$652.27M,"$1,671,537,444",59,"640,590","A new theme park, built on the original site of Jurassic Park, creates a genetically modified hybrid dinosaur, the Indominus Rex, which escapes containment and goes on a killing spree."
The Lion King,2019,"Animation,Adventure,Drama",6.8,118,$543.64M,"$1,663,250,487",55,"244,170","After the murder of his father, a young lion prince flees his kingdom only to learn the true meaning of responsibility and bravery."
The Avengers,2012,"Action,Adventure,Sci-Fi",8.0,143,$623.28M,"$1,518,815,515",69,"1,381,149",Earth's mightiest heroes must come together and learn to fight as a team if they are going to stop the mischievous Loki and his alien army from enslaving humanity.
Fast & Furious 7,2015,"Action,Crime,Thriller",7.1,137,$353.01M,"$1,515,341,399",67,"389,484",Deckard Shaw seeks revenge against Dominic Toretto and his family for his comatose brother.
Frozen II,2019,"Animation,Adventure,Comedy",6.8,103,$477.37M,"$1,450,026,933",64,"171,270","Anna, Elsa, Kristoff, Olaf and Sven leave Arendelle to travel to an ancient, autumn-bound forest of an enchanted land. They set out to find the origin of Elsa's powers in order to save their kingdom."
Top Gun: Maverick,2022,"Action,Drama",8.4,130,******,"$1,440,739,744",78,"400,255","After thirty years, Maverick is still pushing the envelope as a top naval aviator, but must confront ghosts of his past when he leads TOP GUN's elite graduates on a mission that demands the ultimate sacrifice from those chosen to fly it."
Avengers: Age of Ultron,2015,"Action,Adventure,Sci-Fi",7.3,141,$459.01M,"$1,402,809,540",66,"856,080","When Tony Stark and Bruce Banner try to jump-start a dormant peacekeeping program called Ultron, things go horribly wrong and it's up to Earth's mightiest heroes to stop the villainous Ultron from enacting his terrible plan."
Black Panther,2018,"Action,Adventure,Sci-Fi",7.3,134,$700.06M,"$1,347,597,973",88,"751,667","T'Challa, heir to the hidden but advanced kingdom of Wakanda, must step forward to lead his people into a new future and must confront a challenger from his country's past."
Harry Potter and the Deathly Hallows: Part 2,2011,"Adventure,Family,Fantasy",8.1,130,$381.01M,"$1,342,359,942",85,"867,676","Harry, Ron, and Hermione search for Voldemort's remaining Horcruxes in their effort to destroy the Dark Lord as the final battle rages on at Hogwarts."
Star Wars: Episode VIII - The Last Jedi,2017,"Action,Adventure,Fantasy",6.9,152,$620.18M,"$1,332,698,830",84,"627,406","The Star Wars saga continues as new heroes and galactic legends go on an epic adventure, unlocking mysteries of the Force and shocking revelations of the past."
Jurassic World: Fallen Kingdom,2018,"Action,Adventure,Sci-Fi",6.1,128,$417.72M,"$1,310,466,296",51,"315,318","When the island's dormant volcano begins roaring to life, Owen and Claire mount a campaign to rescue the remaining dinosaurs from this extinction-level event."
Frozen,2013,"Animation,Adventure,Comedy",7.4,102,$400.74M,"$1,281,508,100",75,"621,680","When the newly crowned Queen Elsa accidentally uses her power to turn things into ice to curse her home in infinite winter, her sister Anna teams up with a mountain man, his playful reindeer, and a snowman to change the weather condition."
Beauty and the Beast,2017,"Adventure,Family,Fantasy",7.1,129,$504.01M,"$1,273,576,220",65,"308,027","A selfish Prince is cursed to become a monster for the rest of his life, unless he learns to fall in love with a beautiful young woman he keeps prisoner."
